timestamp,username,action,detail
2025-04-26 09:57:52,admin,login,success
2025-05-06 19:38:50,admin,login,success
2025-05-06 19:40:49,admin,login,success
2025-05-06 19:42:46,admin,logout,
2025-05-06 19:42:53,user,login,failed
2025-05-06 19:42:58,asep,login,failed
2025-05-06 19:43:04,user,register,user registered
2025-05-06 19:43:08,user,login,success
2025-05-06 19:48:49,user,logout,
2025-05-06 19:48:53,admin,login,success
2025-05-06 20:50:29,admin,login,success
2025-05-11 15:34:41,admin,login,success
2025-05-11 15:35:52,admin,login,success
2025-05-11 15:38:17,user,login,success
2025-05-11 15:42:26,user,login,success
2025-05-11 15:44:48,user,logout,
2025-05-11 15:44:52,admin,login,success
2025-05-11 15:45:53,user,login,success
2025-05-11 15:54:52,user,logout,
2025-05-11 15:55:11,admin,login,success
2025-05-11 15:56:34,admin,login,success
2025-05-11 15:59:49,admin,logout,
2025-05-11 15:59:57,user,login,success
2025-05-11 16:00:37,user,login,success
2025-05-11 16:00:59,user,logout,
2025-05-11 16:01:05,admin,login,success
2025-05-11 16:01:48,admin,logout,
2025-05-11 16:01:54,user,login,success
2025-05-11 16:07:19,user,logout,
2025-05-11 16:07:30,asep,register,user registered
2025-05-11 16:07:37,asep,login,success
2025-05-11 17:44:59,admin,login,success
2025-05-11 17:49:41,admin,login,success
2025-05-15 21:56:39,admin,login,success
2025-05-15 22:06:00,admin,login,success
2025-05-15 22:08:25,admin,logout,
2025-05-15 22:08:29,admin,login,success
2025-07-19 21:23:50,admin,login,success
2025-07-20 11:40:23,admin,login,success
2025-07-20 11:44:20,user,login,success
2025-07-20 12:17:40,user,logout,
2025-07-20 12:17:54,admin,login,success
2025-07-20 18:41:39,admin,login,success
